s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;69;1967;160;1967-06-09;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1967;161;1967-06-10;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1967;163;1967-06-12;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1967;176;1967-06-25;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1967;191;1967-07-10;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;380;1967;282;1967-10-09;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;380;1967;301;1967-10-28;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1967;308;1967-11-04;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;87;1967;310;1967-11-06;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;87;1967;317;1967-11-13;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1967;326;1967-11-22;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;60;1968;141;1968-05-20;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;60;1968;143;1968-05-22;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;60;1968;144;1968-05-23;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;65;1968;150;1968-05-29;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;65;1968;150;1968-05-29;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;65;1968;151;1968-05-30;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;60;1968;155;1968-06-03;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1968;156;1968-06-04;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;69;1968;156;1968-06-04;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1968;156;1968-06-04;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1968;159;1968-06-07;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1968;162;1968-06-10;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1968;177;1968-06-25;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;380;1968;284;1968-10-10;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;380;1968;295;1968-10-21;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;87;1968;306;1968-11-01;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;87;1968;307;1968-11-02;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1968;307;1968-11-02;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1968;320;1968-11-15;0;CC BY-NC 4.0
